艦船ID,艦船名,耐久初期,耐久最大,火力初期,火力最大,雷装初期,雷装最大,対空初期,対空最大,装甲初期,装甲最大,対潜初期下限,対潜初期上限,対潜最大,回避初期下限,回避初期上限,回避最大,索敵初期下限,索敵初期上限,索敵最大,運初期,運最大,射程,装備1,装備2,装備3,装備4,装備5,機数1,機数2,機数3,機数4,機数5,ドロップ説明,図鑑説明,リソース名,画像ver,ボイスver,母港ボイスver,元衣装ID
112,瑞鶴改,75,90,0,39,0,0,40,79,42,72,0,0,0,42,42,79,48,48,89,42,89,1,21,24,51,-1,-1,24,24,24,12,0,翔鶴型航空母艦２番艦、妹の瑞鶴です。<br>幸運の空母ですって？そうじゃないの、一生懸命やってるだけ…よ。艦載機がある限り、負けないわ！,翔鶴型航空母艦２番艦、瑞鶴です。<br>翔鶴姉と共に、ミッドウェーの後の第一機動部隊の中核として、矢尽き刀折れるまで奮戦しました。文字通り、最後の機動部隊が壊滅する、その日まで…。,ihwgeegenykh,15,15,606,-1
113,鬼怒,26,39,14,39,24,79,13,49,10,29,20,20,59,38,38,69,8,8,39,12,49,2,4,-1,-1,-1,-1,1,1,0,0,0,きたきたぁ！　鬼怒、いよいよ到着しましたよ！,神戸生まれの鬼怒だよ。<br>舞鶴の学校で訓練に励んだんだ。色々と大変になってきた後は、南西方面で頑張ったよ…いやぁ、大変だったなあ。球磨ちゃんには随分と助けてもらったんだ。でも…パナイ島だけはマジパナイ！,rgribyhrzjjl,15,15,606,-1
114,阿武隈,27,39,14,39,24,79,13,49,10,29,20,20,59,39,39,69,8,8,39,12,49,2,4,-1,-1,-1,-1,1,1,0,0,0,こ、こんにちは、軽巡、阿武隈です。,長良型軽巡洋艦の阿武隈です。<br>はい…正直いって、北上さんは苦手です。なに、あの人…でも、艦首もきれいに直して頑張りました！<br>潮ちゃんも…ありがとね…。,sgwumdfgzais,15,16,606,-1
115,夕張,19,33,17,42,20,69,10,42,10,29,13,13,39,42,42,69,6,6,39,12,49,2,4,4,-1,-1,-1,0,0,0,0,0,はーい、お待たせ？<br>兵装実験軽巡、夕張、到着いたしました！,コンパクトボディに充実の重武装を施した実験艦的存在の軽巡、夕張です。私の残したデータが、様々な重武装新鋭艦開発の元になったんだから！<br>機関室に一発？何いってんの？<br>ほんと…失礼しちゃうわ。,hieimxbtcqrt,18,15,606,-1
116,瑞鳳,32,55,0,19,0,0,14,29,19,39,0,0,0,29,29,49,34,34,69,30,79,1,23,16,-1,-1,-1,18,9,3,0,0,瑞鳳です。<br>軽空母ですが、練度があがれば、正規空母並の活躍をおみせできます。,祥鳳型軽空母、瑞鳳です。<br>元々は高速給油艦として計画され、次に潜水母艦、最終的に軽空母として完成しました。小柄なボディだけれど、機動部隊最後の日まで敢闘しました！,ktexichqewel,19,17,606,-1
117,瑞鳳改,45,69,0,29,0,0,18,39,25,59,0,0,0,29,29,59,35,35,79,40,89,1,21,24,17,-1,-1,18,12,12,6,0,瑞鳳です。<br>軽空母ですが、練度があがれば、正規空母並の活躍をおみせできます。,祥鳳型軽空母、瑞鳳です。<br>元々は高速給油艦として計画され、次に潜水母艦、最終的に軽空母として完成しました。小柄なボディだけれど、機動部隊最後の日まで敢闘しました！,xmzltsferzto,21,19,606,-1
118,大井改二,43,59,17,63,90,139,15,49,23,63,27,27,79,43,43,83,9,9,43,13,49,2,10,58,30,-1,-1,0,0,0,0,0,重雷装艦として、生まれ変わった大井です。<br>お久しぶりです！,重雷装艦バージョンの大井です。<br>圧倒的な水雷戦力を期待されたけど、<br>出番がなかなかなかったの。<br>今度は活躍してみせるわ。見ていてね！,khtgrpfyurcm,16,16,1,-1
119,北上改二,43,59,17,63,90,139,15,49,23,63,27,27,79,43,43,83,9,9,43,30,79,2,10,58,30,-1,-1,0,0,0,0,0,新しい北上、それがアタシ。<br>酸素魚雷を満載して、ちょっと大人になったでしょ。,九三式酸素魚雷を満載、片舷20門、全40門の魚雷発射管を誇る、重雷装艦へと改装されたスーパー北上さまだよ。<br>その威力は圧倒的と言われていたけれど、活躍する機会が微妙になかったんだよね。ちぇっ。,cqtlanpwihpj,14,14,1,-1
120,三隈,40,59,40,59,18,69,18,59,30,59,0,0,0,31,31,62,14,14,39,5,49,2,6,25,-1,-1,-1,2,2,2,0,0,ごきげんよう、三隈です。<br>最上さんはどこにいらっしゃるのかしら？,最上型１番艦のモガミンとは、とっても仲がいいのだけれど、仲が良すぎて彼女とは衝突することも多いの…ええ、そう…物理的に…私はちゃんと前見てるのよ？,oqqerytyeisg,5,3,606,-1
121,三隈改,50,67,24,76,18,69,20,59,37,71,0,0,0,34,34,69,22,22,59,10,69,2,50,30,26,-1,-1,5,6,5,8,0,提督、三隈、新型になりましてよ,最上型１番艦のモガミンとは、とっても仲がいいのだけれど、仲が良すぎて彼女とは衝突することも多いの…ええ、そう…物理的に…私はちゃんと前見てるのよ？,yyvxfxdusxlx,6,4,606,-1
122,舞風,16,34,10,29,24,69,9,39,6,19,24,24,49,45,45,79,6,6,19,10,49,1,2,39,-1,-1,-1,0,0,0,0,0,こんにちは！陽炎型駆逐艦、舞風です。<br>暗い雰囲気は苦手です！,陽炎型駆逐艦の舞風よ。ミッドウェーから南方作戦まで、戦場で舞い続けたの。同じ陽炎型の野分とは仲良しよ。あのトラック島が襲撃された時も近くにいてくれたわ。,emjpbjscgcvf,16,16,606,-1
123,衣笠,37,49,30,54,12,59,16,59,26,37,0,0,0,33,33,69,11,11,39,20,69,2,6,37,-1,-1,-1,2,2,2,0,0,はーいっ！衣笠さんの登場よ！<br>青葉ともども、よろしくね！,カタパルトをお初装備の衣笠さんよ、よろしくね。ウェーク島攻略や珊瑚海海戦、そして、ソロモン海のアイアンボトムサウンドでも大活躍！でも…飛行機っての？あれはちょっと嫌ね。,tyumrhcigliq,3,4,606,-1
124,鈴谷,40,59,40,59,18,69,18,59,30,59,0,0,0,31,31,62,14,14,39,5,49,2,6,25,-1,-1,-1,2,2,2,0,0,鈴谷だよ！にぎやかな艦隊だね！<br>よろしくね！,鈴谷は、最上型重巡洋艦の３番艦。横須賀海軍工廠生まれなんだよ～、ふふ～ん。巡洋艦の名前は川由来なんだけど、鈴谷は樺太の鈴谷川がその由来なの。知ってた？,lvmlqrzbobpe,18,15,606,-1
125,熊野,40,59,40,59,18,69,18,59,30,59,0,0,0,31,31,62,14,14,39,5,49,2,6,25,-1,-1,-1,2,2,2,0,0,ごきげんよう、<br>わたくしが重巡、熊野ですわ！,神戸生まれのお洒落な重巡といえば、わたくし、熊野ですね。マレー、ミッドウェー、ソロモン、マリアナと主要な名所、いえ激戦地に参上いたしましたのよ。最期は日本に帰りたかったけれど……。,mlzpthwviwnf,18,15,606,-1
126,伊168,10,17,2,7,24,59,0,0,3,17,0,0,0,15,15,39,9,9,29,10,49,1,-1,-1,-1,-1,-1,0,0,0,0,0,伊１６８よ。何よ、言いにくいの？<br>じゃ、イムヤでいいわ…よろしくねっ！,生れも育ちも呉の潜水艦なの。あのミッドウェーの大海戦のあと、飛龍が最後の力で深手を負わせたヨークタウンに止めを刺したのよ！空母たちの仇はとったわ！　あの大変な島への輸送任務でも頑張ったの。,wmzbyvhflrhy,4,5,606,-1
127,伊58,14,19,2,9,30,69,0,0,4,19,0,0,0,13,13,36,10,10,39,40,79,1,-1,-1,-1,-1,-1,0,0,0,0,0,こんにちは！ 伊五十八です。<br>ゴーヤって呼んでもいいよ！苦くなんかないよぉ！,最初から頑張って最後まで戦ったんだよ。苦しくなってからだって、凄い重巡だって仕留めたし！　任務を全うして、全てが終わった後、無事に呉の母港に帰ったんだ。,fqbwbmmdcjby,3,4,606,-1
128,伊8,15,19,2,9,30,69,0,0,4,19,0,0,0,14,14,37,10,10,39,20,59,1,-1,-1,-1,-1,-1,0,0,0,0,0,グーテンターク…あ、違った、ごめんなさいね…<br>「はち」と呼んでくださいね。,遣独潜水艦作戦の第二次遣独艦として、かの地に向かったのよ。そして、Uボートをもらったの。この作戦は5回行われたんだけど、機雷とか色々あって、無事往復できたのは私だけなんですって…そうね、機雷なんてダイッキライ！,zoaptkoerfpv,8,8,606,-1
129,鈴谷改,50,67,24,75,18,69,20,59,37,72,0,0,0,34,34,69,22,22,59,10,69,2,6,30,26,-1,-1,5,6,5,6,0,鈴谷だよ！にぎやかな艦隊だね！<br>よろしくね！,鈴谷は、最上型重巡洋艦の３番艦。横須賀海軍工廠生まれなんだよ～、ふふ～ん。巡洋艦の名前は川由来なんだけど、鈴谷は樺太の鈴谷川がその由来なの。知ってた？,oyjqdsswurhl,18,16,606,-1
130,熊野改,50,67,24,75,18,69,20,59,37,72,0,0,0,34,34,69,22,22,59,10,69,2,6,28,26,-1,-1,5,6,5,6,0,ごきげんよう、<br>わたくしが重巡、熊野ですわ！,神戸生まれのお洒落な重巡といえば、わたくし、熊野ですね。マレー、ミッドウェー、ソロモン、マリアナと主要な名所、いえ激戦地に参上いたしましたのよ。最期は日本に帰りたかったけれど……。,pcdygwofwfib,18,15,606,-1
131,大和,93,98,96,129,0,0,50,94,88,108,0,0,0,27,27,59,15,15,39,12,79,4,9,12,59,-1,-1,7,7,7,7,0,大和型戦艦、一番艦、大和。<br>推して参ります！,大和型戦艦一番艦、大和です。<br>艦隊決戦の切り札として、呉海軍工廠で極秘建造されました。当時の最高技術の粋を結集されたこの体、二番艦の武蔵と共に、連合艦隊の中枢戦力として頑張ります！,liqjxscjkogx,6,4,606,-1
132,秋雲,16,34,10,29,24,69,9,39,6,19,24,24,49,45,45,79,6,6,19,14,49,1,2,39,-1,-1,-1,0,0,0,0,0,秋雲、着任！<br>提督よろしくねっ！,横須賀生まれ横須賀育ちの秋雲さんだよ！陽炎型の中でも航続距離は南雲さんの目にも留まって、一航戦に入ったんだ。ていうか、自分では夕雲型だと思ってたんだけどな...ブツブツ...ま、いいや。その後、五航戦の護衛を務めたよ。翔鶴瑞鶴も描き残したかったな。,khxsxmiuccsf,5,3,606,-1
133,夕雲,16,34,10,30,24,69,9,39,6,19,27,27,52,47,47,80,6,6,19,12,49,1,2,39,-1,-1,-1,0,0,0,0,0,夕雲型一番艦、夕雲、着任しました。<br>提督、甘えてくれても、いいんですよ？,最終量産型艦隊駆逐艦の一番艦。舞鶴生まれよ。惨敗のミッドウェー海戦が初陣よ。いいじゃない、別に。あの島への鼠輸送やケ号作戦、南太平洋海戦、キスカ撤退作戦などで奮戦したわ。ふう。,jtfihmyrvmiw,14,5,606,-1
134,巻雲,16,34,10,30,24,69,9,39,6,19,27,27,52,47,47,80,6,6,19,11,49,1,2,39,-1,-1,-1,0,0,0,0,0,夕雲型駆逐艦、巻雲といいます。<br>夕雲姉さんを見習って、頑張ります！,夕雲型駆逐艦二番艦、巻雲です。<br>ホーネットの後始末、事情許さば拿捕曳航されたし…って云われても、結構無理ゲーだし…って、秋雲がこっち指差して笑ってるし。本当にもうなんなの？,piobwloefpcz,7,5,606,-1
135,長波,16,34,10,30,24,69,9,39,6,19,27,27,52,47,47,80,6,6,19,13,49,1,2,39,-1,-1,-1,0,0,0,0,0,夕雲型駆逐艦四番艦、長波サマだよ！<br>さーいくぜ、オーッ！,マル4計画で建造されて戦時就航した夕雲型四番艦、長波だ。栄光の第二水雷戦隊で縦横無尽の活躍したぞ。ガダルカナル島では、田中頼三少将の名指揮で、敵の待ち伏せを完膚なきまでに蹴散らしてやったぜ。,xwvykvklvvqk,10,3,606,-1
136,大和改,96,108,92,139,0,0,68,104,92,118,0,0,0,28,28,64,17,17,39,13,79,4,9,10,28,-1,-1,7,7,7,7,0,大和型戦艦、一番艦、大和。<br>対空火器を大幅強化致しました！,大和型戦艦一番艦、大和です。<br>艦隊決戦の切り札として、呉海軍工廠で極秘建造されました。当時の最高技術の粋を結集されたこの体、二番艦の武蔵と共に、連合艦隊の中枢戦力として頑張ります！,drdaipjrohfl,7,5,606,-1
137,阿賀野,30,45,20,42,24,72,17,60,17,32,25,25,70,37,37,72,12,12,45,10,49,2,65,66,-1,-1,-1,2,2,2,0,0,こんにちはーっ！<br>最新鋭軽巡の阿賀野でーすっ。ふふ。,次世代の水雷戦隊の旗艦として設計＆建造された阿賀野型軽巡洋艦、その長女、一番艦の阿賀野よ。とってもとっても高性能なんだから！見てよ、この洗練された体…今度はゼッタイ本領発揮しちゃうからね。,ljzijyhhgrnx,9,9,606,-1
138,能代,30,45,20,42,24,72,17,60,17,32,25,25,70,37,37,72,12,12,45,10,49,2,65,66,-1,-1,-1,2,2,2,0,0,阿賀野型軽巡二番艦、能代。<br>着任しました。よろしくどうぞ！,新鋭阿賀野型軽巡の二番艦、能代です。<br>能代独自の飛行機運搬軌条がチャームポイントなんです。レイテ沖海戦でも主力の栗田艦隊の一員として頑張りました！,lpiecumljbyp,9,9,606,-1
139,矢矧,31,45,20,42,24,72,17,63,17,33,25,25,70,38,38,72,13,13,45,13,59,2,65,66,-1,-1,-1,2,2,2,0,0,軽巡矢矧、着任したわ。<br>提督、最後まで頑張っていきましょう！,阿賀野型軽巡の三番艦、矢矧よ。<br>マリアナ、レイテ、坊ノ岬と、後半の大きな海戦には殆ど参加したわ。そうよ、最後の最後まで暴れてみせたの。私の記憶の途切れた後、大和はどうなったのかしら。ま、いいわ…今度は全てを護りきるから！,hmivswfdmdem,9,9,606,-1
140,酒匂,31,45,19,41,23,71,17,62,17,32,27,27,72,36,36,72,12,12,45,20,49,2,65,66,-1,-1,-1,2,2,2,0,0,ぴゃん♪　阿賀野型軽巡四番艦、酒匂です！<br>司令、よろしくね！,阿賀野型軽巡姉妹の末っ子、四番艦の酒匂だよ。<br>生まれるのが遅すぎたかな、あまりお外にはいけなかった。矢矧ちゃんと一緒に行きたかったけど…舞鶴でお留守番したの。,vrtbgpzuepqx,9,9,606,-1
141,五十鈴改二,44,59,18,59,24,79,45,84,30,69,54,54,94,42,42,79,15,15,59,13,67,1,28,30,45,-1,-1,0,0,0,0,0,五十鈴です。水雷戦隊の指揮ならお任せ。<br>全力で提督を勝利に導くわ。よろしくね。,五十鈴は、大正時代に建造された長良型軽巡の２番艦。<br>韋駄天さはもちろんだけど、私の歴代艦長の中からは、あの山本五十六提督、山口多聞提督など後の海軍を支える人物が多数輩出されたの。凄いでしょ？,nnkmuxqyewyk,4,2,1,-1
142,衣笠改二,53,65,38,78,24,74,22,66,35,73,0,0,0,38,38,79,13,13,54,13,65,2,50,15,-1,-1,-1,2,2,2,2,0,はーいっ！衣笠さんの登場よ！<br>青葉ともども、よろしくね！,カタパルトをお初装備の衣笠さんよ、よろしくね。ウェーク島攻略や珊瑚海海戦、そして、ソロモン海のアイアンボトムサウンドでも大活躍！でも…飛行機っての？あれはちょっと嫌ね。,ykrokmtrnaqw,7,6,606,-1
143,武蔵,94,98,96,129,0,0,50,94,88,108,0,0,0,27,27,59,16,16,40,10,79,4,9,12,59,-1,-1,7,7,7,7,0,フッ、随分待たせたようだな……。<br>大和型戦艦二番艦、武蔵。参る！,大和型戦艦二番艦、武蔵だ。<br>長崎生まれだ。よろしく頼むぞ。<br>姉妹艦の大和や信濃と同じく、極秘裏に建造されたのさ。ああ、この主砲を存分に撃ち合いたかったな。今度は頼めるか…ありがたい！,ilxnmfogntbo,8,8,606,-1
144,夕立改二,31,58,17,73,37,93,16,59,14,52,28,28,69,46,46,89,12,12,49,20,59,1,63,15,-1,-1,-1,0,0,0,0,0,こんにちは、白露型駆逐艦「夕立」よ。<br>よろしくね！,白露型駆逐艦の４番艦、夕立です。<br>第三次ソロモン海戦では、けっこう頑張ったっぽい？<br>でも、何気に「アイアンボトム・サウンド」って、ホントに怖い言葉よね？,lngqiqvigduj,32,26,606,-1
145,時雨改二,31,49,13,59,28,84,24,72,14,52,30,30,71,62,62,93,9,9,43,50,88,1,28,27,-1,-1,-1,0,0,0,0,0,僕は白露型駆逐艦、「時雨」。<br>これからよろしくね。,僕は白露型駆逐艦２番艦の時雨だよ。<br>あのレイテ沖海戦では、西村艦隊に所属して、運命のスリガオ海峡に突入したんだ。<br>扶桑も山城も凄かったよ……。<br>皆が忘れても、僕だけはずっと覚えているから……。,ogkwigciybxf,36,28,606,-1
146,木曾改二,44,59,18,64,80,110,24,72,24,65,32,32,82,45,45,84,13,13,49,13,69,2,58,27,40,-1,-1,0,0,0,0,0,木曾だ、お前に最高の勝利を与えてやる。,5500トン型の軽巡洋艦、球磨型の木曾だ。よろしくな。<br>やれ、滑走台だ、カタパルトだ、そんなもんはいらねえな。<br>戦いは敵の懐に飛び込んでやるもんよ。なあ？,gpfqngdreebe,13,13,606,-1
147,Верный,37,49,13,54,30,89,18,59,15,57,30,30,74,47,47,89,10,10,44,20,77,1,-1,-1,-1,-1,-1,0,0,0,0,0,ヴェールヌイだ。<br>その活躍ぶりから不死鳥の通り名もあるよ。,数ある特型駆逐艦の中で、最後まで生き残ったのが、響。転戦の後、あの大和水上特攻時には修理で同行できなかったんだ。<br>賠償艦としてソ連に引き渡され「信頼できる」という意味の艦名になったんだ。,gmqsmiszmftf,5,5,606,-1
148,武蔵改,97,108,92,139,0,0,60,99,92,119,0,0,0,27,27,63,18,18,40,9,79,4,9,40,28,-1,-1,7,7,7,7,0,大和型二番艦、武蔵、推参する。<br>どうだ…この色、装束も似合うだろう？,大和型戦艦二番艦、武蔵だ。<br>長崎生まれだ。よろしく頼むぞ。<br>姉妹艦の大和や信濃と同じく、極秘裏に建造されたのさ。ああ、この主砲を存分に撃ち合いたかったな。今度は頼めるか…ありがたい！,eqgvmdsvjerq,9,9,606,-1
149,金剛改二,82,99,76,98,0,0,30,84,70,94,0,0,0,37,37,72,16,16,49,15,79,3,8,30,28,-1,-1,3,3,3,3,0,英国で生まれた帰国子女の金剛デース。<br>ヨロシクオネガイシマース！,超弩級戦艦として建造技術導入を兼ねて英国ヴィッカース社で建造された、金剛デース！<br>太平洋戦域でも持前の高速力を活かして、大活躍デース！<br>期待してネ！,wugwvdccggcp,20,20,606,-1
150,比叡改二,83,99,76,98,0,0,30,82,72,95,0,0,0,36,36,72,16,16,49,13,79,3,8,30,35,-1,-1,3,3,3,3,0,金剛お姉さまの妹分、比叡です。<br>経験を積んで、姉さまに少しでも近づきたいです。,井上提督も愛した巡洋戦艦、比叡です。<br>ぴかぴかに肌を磨いて、御召艦としても活躍したの。<br>大和型のテスト艦にもなったのよ、知ってた？<br>え？ソロモン海戦？そうよ、奮闘したわ！,mhpalcnpxmgz,14,16,1,-1
151,榛名改二,81,99,75,96,0,0,41,92,70,93,0,0,0,39,39,74,17,17,49,41,89,3,104,104,35,27,-1,3,3,3,3,0,高速戦艦、榛名、着任しました。<br>あなたが提督なのね？　よろしくお願い致します。,高速の巡洋戦艦、榛名です。<br>国産の四一式36センチ砲を装備しました。<br>呉鎮守府の江田島で最後まで空を睨んで奮戦したわ。<br>高速戦艦四姉妹で最期まで、戦い抜いた榛名のこと、覚えていてね。,ilxltdgucgbg,18,16,1,-1
152,霧島改二,82,99,78,104,0,0,30,82,70,92,0,0,0,34,34,72,15,15,49,14,79,3,8,74,30,-1,-1,3,3,3,3,0,マイク音量大丈夫…？チェック、1，2……。<br>よし。はじめまして、私、霧島です。,霧島です。姉妹艦の榛名には、頭脳は負けないわよ？<br>純国産高速戦艦として、奮戦するんだからっ！<br>現代の海自イージス艦にもその名は受け継がれたの。,kspwuqsyhipy,14,16,1,-1
153,大鳳,67,87,0,49,0,0,42,79,40,79,0,0,0,33,33,57,47,47,74,2,19,1,60,24,17,-1,-1,18,18,18,7,0,そう…私が大鳳。<br>出迎え、ありがとうございます。<br>提督…貴方と機動部隊に勝利を！,航空母艦「大鳳」です。<br>飛行甲板まで十分な防御を施された最新鋭の正規空母です。密閉型の格納庫も素敵でしょ？　え？　ガスが溜りやすい…ですって…失礼しちゃう。こ、今度は絶対に大丈夫！,ysidnchjxvfc,1,1,606,-1
154,香取,36,48,14,28,12,28,14,42,9,27,12,12,42,24,24,49,10,10,38,10,49,2,119,10,39,-1,-1,1,1,1,0,0,練習巡洋艦、香取です。<br>心配しないで…。色々と優しく、指導させて頂きますから。,香取型練習巡洋艦一番艦の香取です。<br>はい、練習遠洋航海の指揮は、お任せください。必ずや艦隊の練度向上にお力添えできると思います。え、戦艦との砲撃戦…ですか？それは用兵的にどうなのでしょうか。,jtyqmhgstese,14,12,1,-1
155,伊401,20,24,2,9,36,72,0,0,5,24,0,0,0,13,13,35,15,15,45,20,59,1,-1,-1,-1,-1,-1,3,0,0,0,0,提督、ごきげんよう。潜特型二番艦伊401です。<br>しおいって呼んでね。,伊４００型潜水艦二番艦、伊４０１です。<br>地球をぐるっと一周以上余裕で航行できる長大な航続力と、特殊攻撃機「晴嵐」を３機搭載する潜水空母なんです。そう、戦略的秘密兵器…秘密なんだからっ！,hmiwrqvijwvv,5,3,1,-1
156,大鳳改,70,90,0,59,0,0,45,86,44,84,0,0,0,34,34,59,50,50,77,4,39,1,22,18,71,-1,-1,30,24,24,8,0,おはようございます、改装済み大鳳です。<br>甲板装甲を強化、防御力もさらに向上、提督のために…露天駐機で艦載機数も充実です！,航空母艦「大鳳」です。<br>飛行甲板まで十分な防御を施された最新鋭の正規空母です。密閉型の格納庫やハリケーン・バウもいい感じでしょ？　装甲甲板もお化粧直ししてみたわ。どう？似合う？,vsnkqdgtcjbs,2,2,606,-1
157,龍驤改二,50,72,0,40,0,0,24,48,28,62,0,0,0,36,36,69,37,37,79,15,59,1,60,39,61,-1,-1,18,28,6,3,0,軽空母、龍驤や。独特なシルエットでしょ？<br>でも、艦載機を次々繰り出す、ちゃーんとした空母なんや。期待してや！,軽空母だけど、結構歴戦の空母なんよ、うち。<br>ああ、あの岩手沖での第四艦隊事件のこと？あれはきつかったー。<br>波浪で艦橋圧壊…いや、ホントありえへん。,mslkutojcolj,19,15,1,-1
158,川内改二,48,64,24,67,26,89,20,70,29,69,38,38,74,43,43,84,16,16,55,14,80,2,101,74,102,-1,-1,1,1,1,0,0,川内、参上。<br>夜戦なら任せておいて！,5500トン級の軽巡洋艦の最終タイプ、それが私、川内型よ。<br>熟成された軽巡の魅力、たっぷり教えてあげるから。<br>もちろん、夜戦でね！,qpnrcirsvqcr,8,9,606,-1
159,神通改二,50,63,27,71,38,98,18,68,29,69,40,40,80,41,41,80,12,12,54,13,79,2,74,15,15,-1,-1,1,1,1,0,0,あの……軽巡洋艦、神通です。<br>どうか、よろしくお願い致します……,神通です。近代化改装を受け、<br>第２水雷戦隊の旗艦を務めました。<br>コロンバンガラ島沖海戦では先頭に立って奮戦します。<br>でも、みんな私の事狙うんですもの…ひどいわ……。,xyqotgpmnjih,12,10,606,-1
160,那珂改二,48,62,22,68,28,84,24,73,29,68,48,48,84,42,42,82,15,15,54,13,84,2,10,15,30,-1,-1,1,1,1,0,0,艦隊のアイドル、那珂（なか）ちゃんだよー！<br>よっろしくぅ！,第４水雷戦隊のセンターも務めた那珂だよ！<br>お仕事沢山入ってて、輸送船の護衛任務や、トラック島から南方への輸送任務とか…<br>…え、地方巡業じゃんって？ そんなことないしっ！,lvjcqqulbluo,13,11,606,-1
161,あきつ丸,38,49,6,19,0,0,13,29,13,33,0,0,0,15,15,39,3,3,13,10,39,1,68,39,-1,-1,-1,0,0,0,0,0,自分、あきつ丸であります。<br>艦隊にお世話になります。,自分は、陸軍の特種船…その丙型の「あきつ丸」であります。<br>輸送や上陸戦ならお任せ頂きたいのであります。<br>自慢はこの大発であります。ネズミやモグラな輸送とは訳が違うのであります。,nvnwjedsdgcl,3,1,606,-1
162,神威,36,48,3,18,0,0,8,24,6,18,0,0,0,13,13,27,5,5,15,17,67,2,-1,-1,-1,-1,-1,0,0,0,0,0,給油艦、神威と申します。<br>はい、北海道神威岬由来の名前を頂いています。<br>できる限り、頑張りますね。,給油艦として建造された「神威」です。<br>米国で生まれ、その後水上機母艦に改装されました。水上機収容用ハイン式マットは思ったより便利ではなかったけれど……。最終的に飛行艇母艦となり、輸送作戦に従事しました。戦いの前は、米艦と共に女性飛行家の捜索も頑張りました。,jqvoyyolpqgv,2,1,606,-1
163,まるゆ,6,9,1,3,0,9,0,0,2,9,0,0,0,9,9,19,1,1,9,7,77,1,-1,-1,-1,-1,-1,0,0,0,0,0,初めまして…まるゆ着任しました。<br>え？聞いてないって…そんなあ！,まるゆは海軍工廠出身じゃないので、同郷のお友達がいないんです。皆さんとちょっと違うっていうか…木曾さんには第一声で「何だお前、潜れるのか？」なんて言われちゃうし…まるゆ、ここで上手くやっていけるのかなあ…。,joaeulumcgbh,4,1,606,-1
164,弥生,13,24,6,29,18,49,7,29,5,18,16,16,39,37,37,69,4,4,17,10,49,1,1,-1,-1,-1,-1,0,0,0,0,0,初めまして、弥生、着任…。<br>あ、気を使わないでくれていい…です。,睦月型駆逐艦三番艦「弥生」です。<br>横須賀の浦賀生まれ。「睦月」や「望月」と艦隊を組んで色々頑張りました。爆撃機とかは嫌い。よろしくね。,jnvcrrgmtvwl,16,14,606,-1
165,卯月,13,24,6,29,18,49,7,29,5,18,16,16,39,37,37,69,4,4,17,10,49,1,1,-1,-1,-1,-1,0,0,0,0,0,やったぁ！ でたっぴょん！ 卯月でっす！ <br>うーちゃんって呼ばれてまっす！,睦月型駆逐艦四番艦の「卯月」だぴょん。船団護衛から攻略作戦まで、頑張って働いたんでっす！　最後のほうは砲をいくつか下して機銃を一杯積んだよ。<br>うーちゃん、爆撃じゃ沈まないから！,gjtvekieqatn,16,14,606,-1
166,あきつ丸改,40,59,8,33,0,0,15,37,15,43,0,0,0,17,17,49,13,13,59,13,49,1,70,69,-1,-1,-1,8,8,8,0,0,自分、航空兵力を充実させてみたのであります。<br>これはもう空母…であります…。,自分は、陸軍の特種船丙型の「あきつ丸」であります。<br>強襲揚陸艦の先駆けのような自分でありますが、新兵器のオートジャイロなども運用して、対潜戦でも奮闘したいのであります。何卒お願いするのであります。,vxryfhvytcig,5,3,606,-1
167,磯風,16,34,10,29,24,69,14,44,6,19,24,24,49,44,44,79,8,8,19,16,54,1,2,40,-1,-1,-1,0,0,0,0,0,陽炎型駆逐艦十二番艦、磯風。<br>大丈夫、私が護ってあげる。,陽炎型駆逐艦十二番艦、磯風だ。<br>戦歴ならあの雪風にも遅れはとらぬ。数々の海戦、決戦に参加し、戦い抜いたんだ。大和・武蔵・金剛・大鳳…彼女達の最期もこの目に焼き付いている。今度こそ…護り抜くさ。,bctrxdxrugqp,5,3,606,-1
168,浦風,16,34,10,29,24,69,10,40,6,19,24,24,49,44,44,79,7,7,19,13,49,1,2,44,-1,-1,-1,0,0,0,0,0,うち、浦風じゃ、よろしくね！,生まれは大阪、所属は呉。真珠湾からガダルカナルまで駆けまわったんじゃ。<br>最期は金剛姉さんを護衛して台湾海峡…<br>まぁ、もうどうにもならんなぁ……。,cmupwurocdpn,16,14,606,-1
169,谷風,16,34,10,29,24,69,10,40,6,19,24,24,49,44,44,79,7,7,19,14,49,1,2,44,-1,-1,-1,0,0,0,0,0,提督、谷風だよ。<br>これからお世話になるね！,谷風さんだよ。<br>あのミッドウェー海戦では、飛龍を助けようとしてたら、くそ敵機から雨あられの集中爆撃…。あんときゃ、まいったけど、勝見艦長がすげえんだ、マジで。,gsrzkautnghc,17,14,606,-1
170,浜風,16,34,10,29,24,69,13,42,6,19,24,24,49,44,44,79,7,7,19,15,49,1,2,44,-1,-1,-1,0,0,0,0,0,駆逐艦、浜風です。<br>これより貴艦隊所属となります。,浜風です。数々の激戦に参加しました。<br>レイテでは金剛を中心とした輪形陣。そして、武蔵や金剛、あの信濃の最期もこの目に焼き付けることになりました。運命の坊ノ岬では、雪風らと共に大和を護って奮闘します。,rubtymuqfeuq,24,20,606,-1
